Reference area,Sex,Occupation,Time,U.S. dollars
Bolivia,Male,1. Managers,2012,660
Bolivia,Male,2. Professionals,2012,509
Bolivia,Male,3. Technicians and associate professionals,2012,383
Bolivia,Male,4. Clerical support workers,2012,367
Bolivia,Male,5. Service and sales workers,2012,261
Bolivia,Male,"6. Skilled agricultural, forestry and fishery workers",2012,292
Bolivia,Male,7. Craft and related trades workers,2012,349
Bolivia,Male,"8. Plant and machine operators, and assemblers",2012,445
Bolivia,Male,9. Elementary occupations,2012,285
Bolivia,Male,0. Armed forces occupations,2012,432
Bolivia,Male,X. Not elsewhere classified,2012,548
Bolivia,Female,Total,2012,269
Bolivia,Female,1. Managers,2012,572
Bolivia,Female,2. Professionals,2012,402
Bolivia,Female,3. Technicians and associate professionals,2012,326
Bolivia,Female,4. Clerical support workers,2012,251
Bolivia,Female,5. Service and sales workers,2012,181
Bolivia,Female,"6. Skilled agricultural, forestry and fishery workers",2012,146
Bolivia,Female,7. Craft and related trades workers,2012,185
Bolivia,Female,"8. Plant and machine operators, and assemblers",2012,301
Bolivia,Female,9. Elementary occupations,2012,155
Bolivia,Female,0. Armed forces occupations,2012,731
Bolivia,Total,Total,2013,377
Bolivia,Total,1. Managers,2013,751
Bolivia,Total,2. Professionals,2013,493
Bolivia,Total,3. Technicians and associate professionals,2013,421
Bolivia,Total,4. Clerical support workers,2013,317
Bolivia,Total,5. Service and sales workers,2013,241
Bolivia,Total,"6. Skilled agricultural, forestry and fishery workers",2013,280
Bolivia,Total,7. Craft and related trades workers,2013,337
Bolivia,Total,"8. Plant and machine operators, and assemblers",2013,431
Bolivia,Total,9. Elementary occupations,2013,204
Bolivia,Total,0. Armed forces occupations,2013,742
Bolivia,Total,X. Not elsewhere classified,2013,355
Bolivia,Male,Total,2013,425
Bolivia,Male,1. Managers,2013,810
Bolivia,Male,2. Professionals,2013,559
Bolivia,Male,3. Technicians and associate professionals,2013,456
Bolivia,Male,4. Clerical support workers,2013,353
Bolivia,Male,5. Service and sales workers,2013,303
Bolivia,Male,"6. Skilled agricultural, forestry and fishery workers",2013,299
Bolivia,Male,7. Craft and related trades workers,2013,351
Bolivia,Male,"8. Plant and machine operators, and assemblers",2013,433
Bolivia,Male,9. Elementary occupations,2013,255
Bolivia,Male,0. Armed forces occupations,2013,734
Bolivia,Female,Total,2013,304
Bolivia,Female,1. Managers,2013,623
Bolivia,Female,2. Professionals,2013,428
Bolivia,Female,3. Technicians and associate professionals,2013,361
Bolivia,Female,4. Clerical support workers,2013,296
Bolivia,Female,5. Service and sales workers,2013,196
Bolivia,Female,"6. Skilled agricultural, forestry and fishery workers",2013,174
Bolivia,Female,7. Craft and related trades workers,2013,231
Bolivia,Female,"8. Plant and machine operators, and assemblers",2013,246
Bolivia,Female,9. Elementary occupations,2013,176
Bolivia,Female,0. Armed forces occupations,2013,788
Bolivia,Female,X. Not elsewhere classified,2013,354
Bolivia,Total,Total,2014,392
Bolivia,Total,1. Managers,2014,724
Bolivia,Total,2. Professionals,2014,524
Bolivia,Total,3. Technicians and associate professionals,2014,448
Bolivia,Total,4. Clerical support workers,2014,372
Bolivia,Total,5. Service and sales workers,2014,250
Bolivia,Total,"6. Skilled agricultural, forestry and fishery workers",2014,289
Bolivia,Total,7. Craft and related trades workers,2014,388
Bolivia,Total,"8. Plant and machine operators, and assemblers",2014,469
Bolivia,Total,9. Elementary occupations,2014,256
Bolivia,Total,0. Armed forces occupations,2014,671
Bolivia,Male,Total,2014,435
Bolivia,Male,1. Managers,2014,785
Bolivia,Male,2. Professionals,2014,601
Bolivia,Male,3. Technicians and associate professionals,2014,480
Bolivia,Male,4. Clerical support workers,2014,419
Bolivia,Male,5. Service and sales workers,2014,311
Bolivia,Male,"6. Skilled agricultural, forestry and fishery workers",2014,299
Bolivia,Male,7. Craft and related trades workers,2014,403
Bolivia,Male,"8. Plant and machine operators, and assemblers",2014,470
Bolivia,Male,9. Elementary occupations,2014,306
Bolivia,Male,0. Armed forces occupations,2014,684
Bolivia,Female,Total,2014,323
Bolivia,Female,1. Managers,2014,629
Bolivia,Female,2. Professionals,2014,461
Bolivia,Female,3. Technicians and associate professionals,2014,393
Bolivia,Female,4. Clerical support workers,2014,332
Bolivia,Female,5. Service and sales workers,2014,206
Bolivia,Female,"6. Skilled agricultural, forestry and fishery workers",2014,250
Bolivia,Female,7. Craft and related trades workers,2014,237
Bolivia,Female,"8. Plant and machine operators, and assemblers",2014,443
Bolivia,Female,9. Elementary occupations,2014,209
Bolivia,Female,0. Armed forces occupations,2014,639
Bolivia,Total,Total,2015,411
Bolivia,Total,1. Managers,2015,719
Bolivia,Total,2. Professionals,2015,563
Bolivia,Total,3. Technicians and associate professionals,2015,450
Bolivia,Total,4. Clerical support workers,2015,389
Bolivia,Total,5. Service and sales workers,2015,281
Bolivia,Total,"6. Skilled agricultural, forestry and fishery workers",2015,277
Bolivia,Total,7. Craft and related trades workers,2015,402
Bolivia,Total,"8. Plant and machine operators, and assemblers",2015,440
Bolivia,Total,9. Elementary occupations,2015,271
Bolivia,Total,0. Armed forces occupations,2015,735
Bolivia,Total,X. Not elsewhere classified,2015,536
Bolivia,Male,Total,2015,442
Bolivia,Male,1. Managers,2015,675
Bolivia,Male,2. Professionals,2015,618
Bolivia,Male,3. Technicians and associate professionals,2015,469
Bolivia,Male,4. Clerical support workers,2015,420
Bolivia,Male,5. Service and sales workers,2015,340
Bolivia,Male,"6. Skilled agricultural, forestry and fishery workers",2015,291
Bolivia,Male,7. Craft and related trades workers,2015,415
Bolivia,Male,"8. Plant and machine operators, and assemblers",2015,444
Bolivia,Male,9. Elementary occupations,2015,322
Bolivia,Male,0. Armed forces occupations,2015,760
Bolivia,Male,X. Not elsewhere classified,2015,536
Bolivia,Female,Total,2015,356
Bolivia,Female,1. Managers,2015,798
Bolivia,Female,2. Professionals,2015,511
Bolivia,Female,3. Technicians and associate professionals,2015,417
Bolivia,Female,4. Clerical support workers,2015,366
Bolivia,Female,5. Service and sales workers,2015,238
Bolivia,Female,"6. Skilled agricultural, forestry and fishery workers",2015,223
Bolivia,Female,7. Craft and related trades workers,2015,252
Bolivia,Female,"8. Plant and machine operators, and assemblers",2015,271
Bolivia,Female,9. Elementary occupations,2015,226
Bolivia,Total,Total,2016,432
Bolivia,Total,1. Managers,2016,798
Bolivia,Total,2. Professionals,2016,574
Bolivia,Total,3. Technicians and associate professionals,2016,496
Bolivia,Total,4. Clerical support workers,2016,387
Bolivia,Total,5. Service and sales workers,2016,296
Bolivia,Total,"6. Skilled agricultural, forestry and fishery workers",2016,326
Bolivia,Total,7. Craft and related trades workers,2016,392
Bolivia,Total,"8. Plant and machine operators, and assemblers",2016,453
Bolivia,Total,9. Elementary occupations,2016,260
Bolivia,Total,0. Armed forces occupations,2016,691
Bolivia,Total,X. Not elsewhere classified,2016,726
Bolivia,Male,Total,2016,482
Bolivia,Male,1. Managers,2016,855
Bolivia,Male,2. Professionals,2016,652
Bolivia,Male,3. Technicians and associate professionals,2016,540
Bolivia,Male,4. Clerical support workers,2016,445
Bolivia,Male,5. Service and sales workers,2016,359
Bolivia,Male,"6. Skilled agricultural, forestry and fishery workers",2016,340
Bolivia,Male,7. Craft and related trades workers,2016,413
Bolivia,Male,"8. Plant and machine operators, and assemblers",2016,457
Bolivia,Male,9. Elementary occupations,2016,323
Bolivia,Male,0. Armed forces occupations,2016,702
Bolivia,Male,X. Not elsewhere classified,2016,763
Bolivia,Female,Total,2016,364
Bolivia,Female,1. Managers,2016,696
Bolivia,Female,2. Professionals,2016,511
Bolivia,Female,3. Technicians and associate professionals,2016,423
Bolivia,Female,4. Clerical support workers,2016,341
Bolivia,Female,5. Service and sales workers,2016,249
Bolivia,Female,"6. Skilled agricultural, forestry and fishery workers",2016,242
Bolivia,Female,7. Craft and related trades workers,2016,260
Bolivia,Female,"8. Plant and machine operators, and assemblers",2016,321
Bolivia,Female,9. Elementary occupations,2016,220
Bolivia,Female,0. Armed forces occupations,2016,537
Bolivia,Female,X. Not elsewhere classified,2016,616
Bolivia,Total,Total,2017,442
Bolivia,Total,1. Managers,2017,833
Bolivia,Total,2. Professionals,2017,605
Bolivia,Total,3. Technicians and associate professionals,2017,511
Bolivia,Total,4. Clerical support workers,2017,410
Bolivia,Total,5. Service and sales workers,2017,297
Bolivia,Total,"6. Skilled agricultural, forestry and fishery workers",2017,312
Bolivia,Total,7. Craft and related trades workers,2017,408
Bolivia,Total,"8. Plant and machine operators, and assemblers",2017,461
Bolivia,Total,9. Elementary occupations,2017,272
Bolivia,Total,0. Armed forces occupations,2017,807
Bolivia,Total,X. Not elsewhere classified,2017,571
Bolivia,Male,Total,2017,488
Bolivia,Male,1. Managers,2017,896
Bolivia,Male,2. Professionals,2017,687
Bolivia,Male,3. Technicians and associate professionals,2017,555
Bolivia,Male,4. Clerical support workers,2017,461
Bolivia,Male,5. Service and sales workers,2017,367
Bolivia,Male,"6. Skilled agricultural, forestry and fishery workers",2017,321
Bolivia,Male,7. Craft and related trades workers,2017,420
Bolivia,Male,"8. Plant and machine operators, and assemblers",2017,464
Bolivia,Male,9. Elementary occupations,2017,338
Bolivia,Male,0. Armed forces occupations,2017,814
Bolivia,Female,Total,2017,377
Bolivia,Female,1. Managers,2017,724
Bolivia,Female,2. Professionals,2017,540
Bolivia,Female,3. Technicians and associate professionals,2017,435
Bolivia,Female,4. Clerical support workers,2017,372
Bolivia,Female,5. Service and sales workers,2017,247
Bolivia,Female,"6. Skilled agricultural, forestry and fishery workers",2017,224
Bolivia,Female,7. Craft and related trades workers,2017,276
Bolivia,Female,"8. Plant and machine operators, and assemblers",2017,328
Bolivia,Female,9. Elementary occupations,2017,235
Bolivia,Female,0. Armed forces occupations,2017,581
Bolivia,Total,Total,2018,449
Bolivia,Total,1. Managers,2018,838
Bolivia,Total,2. Professionals,2018,638
Bolivia,Total,3. Technicians and associate professionals,2018,510
Bolivia,Total,4. Clerical support workers,2018,421
Bolivia,Total,5. Service and sales workers,2018,293
Bolivia,Total,"6. Skilled agricultural, forestry and fishery workers",2018,322
Bolivia,Total,7. Craft and related trades workers,2018,412
Bolivia,Total,"8. Plant and machine operators, and assemblers",2018,481
Bolivia,Total,9. Elementary occupations,2018,282
Bolivia,Total,0. Armed forces occupations,2018,748
Bolivia,Male,Total,2018,490
Bolivia,Male,1. Managers,2018,919
Bolivia,Male,2. Professionals,2018,705
Bolivia,Male,3. Technicians and associate professionals,2018,550
Bolivia,Male,4. Clerical support workers,2018,457
Bolivia,Male,5. Service and sales workers,2018,370
Bolivia,Male,"6. Skilled agricultural, forestry and fishery workers",2018,331
Bolivia,Male,7. Craft and related trades workers,2018,426
Bolivia,Male,"8. Plant and machine operators, and assemblers",2018,484
Bolivia,Male,9. Elementary occupations,2018,348
Bolivia,Male,0. Armed forces occupations,2018,761
Bolivia,Female,Total,2018,389
Bolivia,Female,1. Managers,2018,718
Bolivia,Female,2. Professionals,2018,588
Bolivia,Female,3. Technicians and associate professionals,2018,448
Bolivia,Female,4. Clerical support workers,2018,394
Bolivia,Female,5. Service and sales workers,2018,242
Bolivia,Female,"6. Skilled agricultural, forestry and fishery workers",2018,261
Bolivia,Female,7. Craft and related trades workers,2018,261
Bolivia,Female,"8. Plant and machine operators, and assemblers",2018,375
Bolivia,Female,9. Elementary occupations,2018,247
Bolivia,Female,0. Armed forces occupations,2018,576
Bolivia,Total,Total,2019,475
Bolivia,Total,1. Managers,2019,915
Bolivia,Total,2. Professionals,2019,686
Bolivia,Total,3. Technicians and associate professionals,2019,519
Bolivia,Total,4. Clerical support workers,2019,454
Bolivia,Total,5. Service and sales workers,2019,305
Bolivia,Total,"6. Skilled agricultural, forestry and fishery workers",2019,314
Bolivia,Total,7. Craft and related trades workers,2019,437
Bolivia,Total,"8. Plant and machine operators, and assemblers",2019,532
Bolivia,Total,9. Elementary occupations,2019,305
Bolivia,Total,0. Armed forces occupations,2019,972
Bolivia,Male,Total,2019,523
Bolivia,Male,1. Managers,2019,982
Bolivia,Male,2. Professionals,2019,769
Bolivia,Male,3. Technicians and associate professionals,2019,550
Bolivia,Male,4. Clerical support workers,2019,504
Bolivia,Male,5. Service and sales workers,2019,375
Bolivia,Male,"6. Skilled agricultural, forestry and fishery workers",2019,347
Bolivia,Male,7. Craft and related trades workers,2019,450
Bolivia,Male,"8. Plant and machine operators, and assemblers",2019,541
Bolivia,Male,9. Elementary occupations,2019,365
Bolivia,Male,0. Armed forces occupations,2019,929
Bolivia,Female,Total,2019,403
Bolivia,Female,1. Managers,2019,777
Bolivia,Female,2. Professionals,2019,616
Bolivia,Female,3. Technicians and associate professionals,2019,472
Bolivia,Female,4. Clerical support workers,2019,414
Bolivia,Female,5. Service and sales workers,2019,255
Bolivia,Female,"6. Skilled agricultural, forestry and fishery workers",2019,237
Bolivia,Female,7. Craft and related trades workers,2019,300
Bolivia,Female,"8. Plant and machine operators, and assemblers",2019,302
Bolivia,Female,9. Elementary occupations,2019,262
Bolivia,Total,Total,2020,483
Bolivia,Total,1. Managers,2020,882
Bolivia,Total,2. Professionals,2020,717
Bolivia,Total,3. Technicians and associate professionals,2020,535
Bolivia,Total,4. Clerical support workers,2020,458
Bolivia,Total,5. Service and sales workers,2020,311
Bolivia,Total,"6. Skilled agricultural, forestry and fishery workers",2020,307
Bolivia,Total,7. Craft and related trades workers,2020,399
Bolivia,Total,"8. Plant and machine operators, and assemblers",2020,490
Bolivia,Total,9. Elementary occupations,2020,306
Bolivia,Total,0. Armed forces occupations,2020,891
Bolivia,Male,Total,2020,506
Bolivia,Male,1. Managers,2020,937
Bolivia,Male,2. Professionals,2020,797
Bolivia,Male,3. Technicians and associate professionals,2020,562
Bolivia,Male,4. Clerical support workers,2020,482
Bolivia,Male,5. Service and sales workers,2020,382
Bolivia,Male,"6. Skilled agricultural, forestry and fishery workers",2020,307
Bolivia,Male,7. Craft and related trades workers,2020,404
Bolivia,Male,"8. Plant and machine operators, and assemblers",2020,493
Bolivia,Male,9. Elementary occupations,2020,349
Bolivia,Male,0. Armed forces occupations,2020,929
Bolivia,Female,Total,2020,448
Bolivia,Female,1. Managers,2020,751
Bolivia,Female,2. Professionals,2020,657
Bolivia,Female,3. Technicians and associate professionals,2020,491
Bolivia,Female,4. Clerical support workers,2020,438
Bolivia,Female,5. Service and sales workers,2020,258
Bolivia,Female,"6. Skilled agricultural, forestry and fishery workers",2020,312
Bolivia,Female,7. Craft and related trades workers,2020,331
Bolivia,Female,"8. Plant and machine operators, and assemblers",2020,311
Bolivia,Female,9. Elementary occupations,2020,269
Bosnia and Herzegovina,Total,Total,2010,471
Bosnia and Herzegovina,Total,1. Managers,2010,758
Bosnia and Herzegovina,Total,2. Professionals,2010,696
Bosnia and Herzegovina,Total,3. Technicians and associate professionals,2010,513
Bosnia and Herzegovina,Total,4. Clerical support workers,2010,438
Bosnia and Herzegovina,Total,5. Service and sales workers,2010,376
Bosnia and Herzegovina,Total,"6. Skilled agricultural, forestry and fishery workers",2010,372
Bosnia and Herzegovina,Total,7. Craft and related trades workers,2010,450
Bosnia and Herzegovina,Total,"8. Plant and machine operators, and assemblers",2010,430
Bosnia and Herzegovina,Total,9. Elementary occupations,2010,362
Bosnia and Herzegovina,Total,0. Armed forces occupations,2010,602
Bosnia and Herzegovina,Male,Total,2010,487
Bosnia and Herzegovina,Male,1. Managers,2010,835
Bosnia and Herzegovina,Male,2. Professionals,2010,734
Bosnia and Herzegovina,Male,3. Technicians and associate professionals,2010,525
Bosnia and Herzegovina,Male,4. Clerical support workers,2010,448
Bosnia and Herzegovina,Male,5. Service and sales workers,2010,413
Bosnia and Herzegovina,Male,"6. Skilled agricultural, forestry and fishery workers",2010,375
Bosnia and Herzegovina,Male,7. Craft and related trades workers,2010,471
Bosnia and Herzegovina,Male,"8. Plant and machine operators, and assemblers",2010,447
Bosnia and Herzegovina,Male,9. Elementary occupations,2010,397
Bosnia and Herzegovina,Male,0. Armed forces occupations,2010,602
Bosnia and Herzegovina,Female,Total,2010,444
Bosnia and Herzegovina,Female,1. Managers,2010,580
Bosnia and Herzegovina,Female,2. Professionals,2010,668
Bosnia and Herzegovina,Female,3. Technicians and associate professionals,2010,496
Bosnia and Herzegovina,Female,4. Clerical support workers,2010,431
Bosnia and Herzegovina,Female,5. Service and sales workers,2010,336
Bosnia and Herzegovina,Female,7. Craft and related trades workers,2010,288
Bosnia and Herzegovina,Female,"8. Plant and machine operators, and assemblers",2010,295
Bosnia and Herzegovina,Female,9. Elementary occupations,2010,308
Bosnia and Herzegovina,Total,Total,2011,501
Bosnia and Herzegovina,Total,1. Managers,2011,869
Bosnia and Herzegovina,Total,2. Professionals,2011,709
Bosnia and Herzegovina,Total,3. Technicians and associate professionals,2011,541
Bosnia and Herzegovina,Total,4. Clerical support workers,2011,523
Bosnia and Herzegovina,Total,5. Service and sales workers,2011,404
Bosnia and Herzegovina,Total,"6. Skilled agricultural, forestry and fishery workers",2011,403
Bosnia and Herzegovina,Total,7. Craft and related trades workers,2011,451
Bosnia and Herzegovina,Total,"8. Plant and machine operators, and assemblers",2011,462
Bosnia and Herzegovina,Total,9. Elementary occupations,2011,389
Bosnia and Herzegovina,Total,0. Armed forces occupations,2011,631
Bosnia and Herzegovina,Male,Total,2011,521
Bosnia and Herzegovina,Male,1. Managers,2011,908
Bosnia and Herzegovina,Male,2. Professionals,2011,751
Bosnia and Herzegovina,Male,3. Technicians and associate professionals,2011,562
Bosnia and Herzegovina,Male,4. Clerical support workers,2011,542
Bosnia and Herzegovina,Male,5. Service and sales workers,2011,454
Bosnia and Herzegovina,Male,"6. Skilled agricultural, forestry and fishery workers",2011,430
Bosnia and Herzegovina,Male,7. Craft and related trades workers,2011,475
Bosnia and Herzegovina,Male,"8. Plant and machine operators, and assemblers",2011,472
Bosnia and Herzegovina,Male,9. Elementary occupations,2011,431
Bosnia and Herzegovina,Male,0. Armed forces occupations,2011,631
Bosnia and Herzegovina,Female,Total,2011,468
Bosnia and Herzegovina,Female,1. Managers,2011,731
Bosnia and Herzegovina,Female,2. Professionals,2011,672
Bosnia and Herzegovina,Female,3. Technicians and associate professionals,2011,517
Bosnia and Herzegovina,Female,4. Clerical support workers,2011,512
Bosnia and Herzegovina,Female,5. Service and sales workers,2011,351
Bosnia and Herzegovina,Female,"6. Skilled agricultural, forestry and fishery workers",2011,303
Bosnia and Herzegovina,Female,7. Craft and related trades workers,2011,317
Bosnia and Herzegovina,Female,"8. Plant and machine operators, and assemblers",2011,372
Bosnia and Herzegovina,Female,9. Elementary occupations,2011,319
Bosnia and Herzegovina,Total,Total,2012,459
Bosnia and Herzegovina,Total,1. Managers,2012,788
Bosnia and Herzegovina,Total,2. Professionals,2012,648
Bosnia and Herzegovina,Total,3. Technicians and associate professionals,2012,504
Bosnia and Herzegovina,Total,4. Clerical support workers,2012,481
Bosnia and Herzegovina,Total,5. Service and sales workers,2012,355
Bosnia and Herzegovina,Total,"6. Skilled agricultural, forestry and fishery workers",2012,393
Bosnia and Herzegovina,Total,7. Craft and related trades workers,2012,432
Bosnia and Herzegovina,Total,"8. Plant and machine operators, and assemblers",2012,433
Bosnia and Herzegovina,Total,9. Elementary occupations,2012,358
Bosnia and Herzegovina,Total,0. Armed forces occupations,2012,563
Bosnia and Herzegovina,Male,Total,2012,474
Bosnia and Herzegovina,Male,1. Managers,2012,786
Bosnia and Herzegovina,Male,2. Professionals,2012,670
Bosnia and Herzegovina,Male,3. Technicians and associate professionals,2012,533
Bosnia and Herzegovina,Male,4. Clerical support workers,2012,487
Bosnia and Herzegovina,Male,5. Service and sales workers,2012,397
Bosnia and Herzegovina,Male,"6. Skilled agricultural, forestry and fishery workers",2012,410
Bosnia and Herzegovina,Male,7. Craft and related trades workers,2012,450
Bosnia and Herzegovina,Male,"8. Plant and machine operators, and assemblers",2012,450
Bosnia and Herzegovina,Male,9. Elementary occupations,2012,382
Bosnia and Herzegovina,Male,0. Armed forces occupations,2012,565
Bosnia and Herzegovina,Female,Total,2012,432
Bosnia and Herzegovina,Female,1. Managers,2012,794
Bosnia and Herzegovina,Female,2. Professionals,2012,627
Bosnia and Herzegovina,Female,3. Technicians and associate professionals,2012,474
Bosnia and Herzegovina,Female,4. Clerical support workers,2012,477
Bosnia and Herzegovina,Female,5. Service and sales workers,2012,308
Bosnia and Herzegovina,Female,"6. Skilled agricultural, forestry and fishery workers",2012,314
Bosnia and Herzegovina,Female,7. Craft and related trades workers,2012,293
Bosnia and Herzegovina,Female,"8. Plant and machine operators, and assemblers",2012,295
Bosnia and Herzegovina,Female,9. Elementary occupations,2012,316
Bosnia and Herzegovina,Total,Total,2013,493
Bosnia and Herzegovina,Total,1. Managers,2013,892
Bosnia and Herzegovina,Total,2. Professionals,2013,697
Bosnia and Herzegovina,Total,3. Technicians and associate professionals,2013,548
Bosnia and Herzegovina,Total,4. Clerical support workers,2013,499
Bosnia and Herzegovina,Total,5. Service and sales workers,2013,389
Bosnia and Herzegovina,Total,"6. Skilled agricultural, forestry and fishery workers",2013,397
Bosnia and Herzegovina,Total,7. Craft and related trades workers,2013,456
Bosnia and Herzegovina,Total,"8. Plant and machine operators, and assemblers",2013,461
Bosnia and Herzegovina,Total,9. Elementary occupations,2013,366
Bosnia and Herzegovina,Total,0. Armed forces occupations,2013,563
Bosnia and Herzegovina,Male,Total,2013,515
Bosnia and Herzegovina,Male,1. Managers,2013,927
Bosnia and Herzegovina,Male,2. Professionals,2013,759
Bosnia and Herzegovina,Male,3. Technicians and associate professionals,2013,583
Bosnia and Herzegovina,Male,4. Clerical support workers,2013,513
Bosnia and Herzegovina,Male,5. Service and sales workers,2013,428
Bosnia and Herzegovina,Male,"6. Skilled agricultural, forestry and fishery workers",2013,404
Bosnia and Herzegovina,Male,7. Craft and related trades workers,2013,481
Bosnia and Herzegovina,Male,"8. Plant and machine operators, and assemblers",2013,484
Bosnia and Herzegovina,Male,9. Elementary occupations,2013,407
Bosnia and Herzegovina,Male,0. Armed forces occupations,2013,568
Bosnia and Herzegovina,Female,Total,2013,456
Bosnia and Herzegovina,Female,1. Managers,2013,774
Bosnia and Herzegovina,Female,2. Professionals,2013,651
Bosnia and Herzegovina,Female,3. Technicians and associate professionals,2013,510
Bosnia and Herzegovina,Female,4. Clerical support workers,2013,488
Bosnia and Herzegovina,Female,5. Service and sales workers,2013,345
Bosnia and Herzegovina,Female,7. Craft and related trades workers,2013,304
Bosnia and Herzegovina,Female,"8. Plant and machine operators, and assemblers",2013,286
Bosnia and Herzegovina,Female,9. Elementary occupations,2013,308
Bosnia and Herzegovina,Total,Total,2014,507
Bosnia and Herzegovina,Total,1. Managers,2014,859
Bosnia and Herzegovina,Total,2. Professionals,2014,704
Bosnia and Herzegovina,Total,3. Technicians and associate professionals,2014,553
Bosnia and Herzegovina,Total,4. Clerical support workers,2014,519
Bosnia and Herzegovina,Total,5. Service and sales workers,2014,409
Bosnia and Herzegovina,Total,"6. Skilled agricultural, forestry and fishery workers",2014,449
Bosnia and Herzegovina,Total,7. Craft and related trades workers,2014,484
Bosnia and Herzegovina,Total,"8. Plant and machine operators, and assemblers",2014,459
Bosnia and Herzegovina,Total,9. Elementary occupations,2014,385
Bosnia and Herzegovina,Total,0. Armed forces occupations,2014,660
Bosnia and Herzegovina,Male,Total,2014,530
Bosnia and Herzegovina,Male,1. Managers,2014,856
Bosnia and Herzegovina,Male,2. Professionals,2014,754
Bosnia and Herzegovina,Male,3. Technicians and associate professionals,2014,587
Bosnia and Herzegovina,Male,4. Clerical support workers,2014,546
Bosnia and Herzegovina,Male,5. Service and sales workers,2014,457
Bosnia and Herzegovina,Male,"6. Skilled agricultural, forestry and fishery workers",2014,440
Bosnia and Herzegovina,Male,7. Craft and related trades workers,2014,517
Bosnia and Herzegovina,Male,"8. Plant and machine operators, and assemblers",2014,473
Bosnia and Herzegovina,Male,9. Elementary occupations,2014,418
Bosnia and Herzegovina,Male,0. Armed forces occupations,2014,657
Bosnia and Herzegovina,Female,Total,2014,469
Bosnia and Herzegovina,Female,1. Managers,2014,865
Bosnia and Herzegovina,Female,2. Professionals,2014,665
Bosnia and Herzegovina,Female,3. Technicians and associate professionals,2014,514
Bosnia and Herzegovina,Female,4. Clerical support workers,2014,501
Bosnia and Herzegovina,Female,5. Service and sales workers,2014,350
Bosnia and Herzegovina,Female,7. Craft and related trades workers,2014,305
Bosnia and Herzegovina,Female,"8. Plant and machine operators, and assemblers",2014,296
Bosnia and Herzegovina,Female,9. Elementary occupations,2014,339
Bosnia and Herzegovina,Total,Total,2015,419
Bosnia and Herzegovina,Total,1. Managers,2015,742
Bosnia and Herzegovina,Total,2. Professionals,2015,605
Bosnia and Herzegovina,Total,3. Technicians and associate professionals,2015,458
Bosnia and Herzegovina,Total,4. Clerical support workers,2015,420
Bosnia and Herzegovina,Total,5. Service and sales workers,2015,333
Bosnia and Herzegovina,Total,"6. Skilled agricultural, forestry and fishery workers",2015,289
Bosnia and Herzegovina,Total,7. Craft and related trades workers,2015,391
Bosnia and Herzegovina,Total,"8. Plant and machine operators, and assemblers",2015,410
Bosnia and Herzegovina,Total,9. Elementary occupations,2015,308
Bosnia and Herzegovina,Total,0. Armed forces occupations,2015,467
Bosnia and Herzegovina,Male,Total,2015,438
Bosnia and Herzegovina,Male,1. Managers,2015,762
Bosnia and Herzegovina,Male,2. Professionals,2015,652
Bosnia and Herzegovina,Male,3. Technicians and associate professionals,2015,480
Bosnia and Herzegovina,Male,4. Clerical support workers,2015,430
Bosnia and Herzegovina,Male,5. Service and sales workers,2015,370
Bosnia and Herzegovina,Male,"6. Skilled agricultural, forestry and fishery workers",2015,298
Bosnia and Herzegovina,Male,7. Craft and related trades workers,2015,418
Bosnia and Herzegovina,Male,"8. Plant and machine operators, and assemblers",2015,420
Bosnia and Herzegovina,Male,9. Elementary occupations,2015,335
Bosnia and Herzegovina,Male,0. Armed forces occupations,2015,470
Bosnia and Herzegovina,Female,Total,2015,388
Bosnia and Herzegovina,Female,1. Managers,2015,680
Bosnia and Herzegovina,Female,2. Professionals,2015,571
Bosnia and Herzegovina,Female,3. Technicians and associate professionals,2015,434
Bosnia and Herzegovina,Female,4. Clerical support workers,2015,414
Bosnia and Herzegovina,Female,5. Service and sales workers,2015,293
Bosnia and Herzegovina,Female,7. Craft and related trades workers,2015,247
Bosnia and Herzegovina,Female,"8. Plant and machine operators, and assemblers",2015,283
Bosnia and Herzegovina,Female,9. Elementary occupations,2015,277
Bosnia and Herzegovina,Total,Total,2016,421
Bosnia and Herzegovina,Total,1. Managers,2016,757
Bosnia and Herzegovina,Total,2. Professionals,2016,560
Bosnia and Herzegovina,Total,3. Technicians and associate professionals,2016,449
Bosnia and Herzegovina,Total,4. Clerical support workers,2016,437
Bosnia and Herzegovina,Total,5. Service and sales workers,2016,350
Bosnia and Herzegovina,Total,"6. Skilled agricultural, forestry and fishery workers",2016,427
Bosnia and Herzegovina,Total,7. Craft and related trades workers,2016,413
Bosnia and Herzegovina,Total,"8. Plant and machine operators, and assemblers",2016,386
Bosnia and Herzegovina,Total,9. Elementary occupations,2016,327
Bosnia and Herzegovina,Total,0. Armed forces occupations,2016,527
Bosnia and Herzegovina,Male,Total,2016,441
Bosnia and Herzegovina,Male,1. Managers,2016,768
Bosnia and Herzegovina,Male,2. Professionals,2016,601
Bosnia and Herzegovina,Male,3. Technicians and associate professionals,2016,466
Bosnia and Herzegovina,Male,4. Clerical support workers,2016,465
Bosnia and Herzegovina,Male,5. Service and sales workers,2016,388
Bosnia and Herzegovina,Male,"6. Skilled agricultural, forestry and fishery workers",2016,441
Bosnia and Herzegovina,Male,7. Craft and related trades workers,2016,432
Bosnia and Herzegovina,Male,"8. Plant and machine operators, and assemblers",2016,390
