sectorID	countryCode	year	sex	monthlyEarnings
5. Service and sales workers	EGY	2019	Female	217
3. Technicians and associate professionals	SLV	2017	Female	489
Total	SLV	2017	Female	308
7. Craft and related trades workers	SLV	2017	Female	191
8. Plant and machine operators, and assemblers	SLV	2017	Male	361
4. Clerical support workers	SLV	2016	Male	391
4. Clerical support workers	SLV	2017	Female	373
1. Managers	SLV	2017	Female	741
2. Professionals	SLV	2017	Female	634
8. Plant and machine operators, and assemblers	SLV	2016	Male	351
9. Elementary occupations	SLV	2016	Male	195
5. Service and sales workers	SLV	2017	Female	243
7. Craft and related trades workers	SLV	2016	Male	287
7. Craft and related trades workers	SLV	2017	Male	302
9. Elementary occupations	SLV	2017	Male	216
0. Armed forces occupations	SLV	2017	Male	291
2. Professionals	SLV	2016	Male	595
3. Technicians and associate professionals	SLV	2016	Male	457
7. Craft and related trades workers	SLV	2016	Female	179
5. Service and sales workers	SLV	2016	Male	293
6. Skilled agricultural, forestry and fishery workers	SLV	2016	Male	206
8. Plant and machine operators, and assemblers	SLV	2013	Female	221
9. Elementary occupations	SLV	2013	Female	158
0. Armed forces occupations	SLV	2016	Male	305
Total	SLV	2016	Female	286
Total	SLV	2016	Male	303
1. Managers	SLV	2016	Male	684
3. Technicians and associate professionals	SLV	2013	Female	441
4. Clerical support workers	SLV	2013	Female	344
5. Service and sales workers	SLV	2013	Female	221
7. Craft and related trades workers	SLV	2013	Female	163
9. Elementary occupations	SLV	2016	Female	164
1. Managers	SLV	2016	Female	631
2. Professionals	SLV	2016	Female	568
3. Technicians and associate professionals	SLV	2016	Female	492
4. Clerical support workers	SLV	2016	Female	353
5. Service and sales workers	SLV	2016	Female	229
6. Skilled agricultural, forestry and fishery workers	SLV	2016	Female	172
8. Plant and machine operators, and assemblers	SLV	2016	Female	254
Total	SLV	2017	Male	324
1. Managers	SLV	2017	Male	742
2. Professionals	SLV	2017	Male	684
3. Technicians and associate professionals	SLV	2017	Male	454
4. Clerical support workers	SLV	2017	Male	399
5. Service and sales workers	SLV	2017	Male	310
6. Skilled agricultural, forestry and fishery workers	SLV	2017	Male	268
Total	SLV	2013	Female	313
1. Managers	SLV	2013	Female	1507
2. Professionals	SLV	2013	Female	569
Total	SLV	2015	Male	311
0. Armed forces occupations	SLV	2013	Male	317
6. Skilled agricultural, forestry and fishery workers	SLV	2018	Female	365
7. Craft and related trades workers	SLV	2018	Female	213
8. Plant and machine operators, and assemblers	SLV	2018	Female	309
9. Elementary occupations	SLV	2018	Female	185
0. Armed forces occupations	SLV	2018	Female	303
1. Managers	SLV	2015	Male	849
8. Plant and machine operators, and assemblers	SLV	2017	Female	291
9. Elementary occupations	SLV	2017	Female	175
Total	SLV	2014	Male	306
1. Managers	SLV	2014	Male	829
2. Professionals	SLV	2014	Male	725
3. Technicians and associate professionals	SLV	2014	Male	438
4. Clerical support workers	SLV	2014	Male	374
5. Service and sales workers	SLV	2014	Male	281
6. Skilled agricultural, forestry and fishery workers	SLV	2014	Male	222
Total	SLV	2013	Male	300
1. Managers	SLV	2013	Male	1009
2. Professionals	SLV	2013	Male	654
3. Technicians and associate professionals	SLV	2013	Male	399
4. Clerical support workers	SLV	2013	Male	340
5. Service and sales workers	SLV	2013	Male	277
6. Skilled agricultural, forestry and fishery workers	SLV	2013	Male	268
7. Craft and related trades workers	SLV	2013	Male	279
8. Plant and machine operators, and assemblers	SLV	2013	Male	320
9. Elementary occupations	SLV	2013	Male	189
9. Elementary occupations	SLV	2014	Female	167
1. Managers	SLV	2018	Female	722
2. Professionals	SLV	2018	Female	593
3. Technicians and associate professionals	SLV	2018	Female	466
4. Clerical support workers	SLV	2018	Female	395
5. Service and sales workers	SLV	2018	Female	258
9. Elementary occupations	SLV	2015	Male	200
0. Armed forces occupations	SLV	2015	Male	302
Total	SLV	2015	Female	300
1. Managers	SLV	2015	Female	784
2. Professionals	SLV	2015	Female	614
3. Technicians and associate professionals	SLV	2015	Female	468
2. Professionals	SLV	2015	Male	689
3. Technicians and associate professionals	SLV	2015	Male	444
4. Clerical support workers	SLV	2015	Male	358
5. Service and sales workers	SLV	2015	Male	288
6. Skilled agricultural, forestry and fishery workers	SLV	2015	Male	276
7. Craft and related trades workers	SLV	2015	Male	293
8. Plant and machine operators, and assemblers	SLV	2015	Male	326
1. Managers	SLV	2014	Female	715
2. Professionals	SLV	2014	Female	625
3. Technicians and associate professionals	SLV	2014	Female	447
4. Clerical support workers	SLV	2014	Female	335
5. Service and sales workers	SLV	2014	Female	225
6. Skilled agricultural, forestry and fishery workers	SLV	2014	Female	157
4. Clerical support workers	SLV	2015	Female	332
5. Service and sales workers	SLV	2015	Female	229
7. Craft and related trades workers	SLV	2014	Male	281
8. Plant and machine operators, and assemblers	SLV	2014	Male	322
9. Elementary occupations	SLV	2014	Male	189
0. Armed forces occupations	SLV	2014	Male	313
Total	SLV	2014	Female	298
Total	SLV	2019	Male	353
7. Craft and related trades workers	SLV	2014	Female	177
8. Plant and machine operators, and assemblers	SLV	2014	Female	233
9. Elementary occupations	SLV	2019	Female	193
2. Professionals	SLV	2019	Female	651
3. Technicians and associate professionals	SLV	2019	Female	502
4. Clerical support workers	SLV	2019	Female	412
5. Service and sales workers	SLV	2019	Female	264
6. Skilled agricultural, forestry and fishery workers	SLV	2015	Female	299
7. Craft and related trades workers	SLV	2015	Female	200
8. Plant and machine operators, and assemblers	SLV	2015	Female	240
9. Elementary occupations	SLV	2015	Female	164
1. Managers	SLV	2018	Male	698
2. Professionals	SLV	2018	Male	626
3. Technicians and associate professionals	SLV	2018	Male	488
4. Clerical support workers	SLV	2018	Male	416
5. Service and sales workers	SLV	2018	Male	326
6. Skilled agricultural, forestry and fishery workers	SLV	2018	Male	281
6. Skilled agricultural, forestry and fishery workers	SLV	2019	Female	233
Total	SLV	2018	Female	325
Total	SLV	2018	Male	336
7. Craft and related trades workers	SLV	2019	Male	343
8. Plant and machine operators, and assemblers	SLV	2019	Male	387
9. Elementary occupations	SLV	2019	Male	235
0. Armed forces occupations	SLV	2019	Male	334
Total	SLV	2019	Female	337
1. Managers	SLV	2019	Female	690
1. Managers	SLV	2019	Male	807
7. Craft and related trades workers	SLV	2019	Female	196
8. Plant and machine operators, and assemblers	SLV	2019	Female	301
4. Clerical support workers	SLV	2019	Male	414
0. Armed forces occupations	SLV	2018	Male	327
5. Service and sales workers	SLV	2019	Male	333
6. Skilled agricultural, forestry and fishery workers	SLV	2019	Male	289
3. Technicians and associate professionals	SLV	2019	Male	517
9. Elementary occupations	SLV	2018	Male	220
7. Craft and related trades workers	SLV	2018	Male	320
2. Professionals	SLV	2019	Male	653
8. Plant and machine operators, and assemblers	SLV	2018	Male	362
Total	EST	2014	Male	1699
Total	EST	2010	Male	1297
1. Managers	EST	2010	Male	2423
5. Service and sales workers	EST	2014	Male	1022
6. Skilled agricultural, forestry and fishery workers	EST	2014	Male	1275
9. Elementary occupations	EST	2014	Male	1034
Total	EST	2014	Female	1204
7. Craft and related trades workers	EST	2014	Male	1514
8. Plant and machine operators, and assemblers	EST	2014	Male	1378
4. Clerical support workers	EST	2010	Male	1119
1. Managers	EST	2014	Male	2912
2. Professionals	EST	2014	Male	2297
3. Technicians and associate professionals	EST	2014	Male	1944
4. Clerical support workers	EST	2014	Male	1408
4. Clerical support workers	EST	2018	Female	1298
5. Service and sales workers	EST	2018	Female	1007
6. Skilled agricultural, forestry and fishery workers	EST	2018	Female	879
7. Craft and related trades workers	EST	2018	Female	1086
8. Plant and machine operators, and assemblers	EST	2018	Female	1141
9. Elementary occupations	EST	2018	Female	894
2. Professionals	EST	2010	Male	1792
3. Technicians and associate professionals	EST	2010	Male	1446
5. Service and sales workers	EST	2010	Male	737
6. Skilled agricultural, forestry and fishery workers	EST	2010	Male	850
7. Craft and related trades workers	EST	2010	Male	1069
8. Plant and machine operators, and assemblers	EST	2010	Male	1031
9. Elementary occupations	EST	2010	Male	801
Total	EST	2010	Female	925
1. Managers	EST	2010	Female	1792
2. Professionals	EST	2010	Female	1259
3. Technicians and associate professionals	EST	2010	Female	1067
4. Clerical support workers	EST	2010	Female	846
5. Service and sales workers	EST	2010	Female	635
1. Managers	EST	2014	Female	2167
9. Elementary occupations	EST	2018	Male	1155
Total	EST	2018	Female	1388
1. Managers	EST	2018	Female	2107
2. Professionals	EST	2018	Female	1851
3. Technicians and associate professionals	EST	2018	Female	1489
8. Plant and machine operators, and assemblers	EST	2014	Female	1027
9. Elementary occupations	EST	2014	Female	755
6. Skilled agricultural, forestry and fishery workers	EST	2010	Female	997
2. Professionals	EST	2014	Female	1574
3. Technicians and associate professionals	EST	2014	Female	1400
4. Clerical support workers	EST	2014	Female	1140
5. Service and sales workers	EST	2014	Female	852
6. Skilled agricultural, forestry and fishery workers	EST	2014	Female	905
7. Craft and related trades workers	EST	2014	Female	992
2. Professionals	EST	2018	Male	2486
3. Technicians and associate professionals	EST	2018	Male	1835
8. Plant and machine operators, and assemblers	EST	2018	Male	1424
7. Craft and related trades workers	EST	2010	Female	709
8. Plant and machine operators, and assemblers	EST	2010	Female	725
9. Elementary occupations	EST	2010	Female	534
Total	EST	2018	Male	1721
1. Managers	EST	2018	Male	2409
4. Clerical support workers	EST	2018	Male	1509
7. Craft and related trades workers	EST	2018	Male	1493
6. Skilled agricultural, forestry and fishery workers	EST	2018	Male	1154
5. Service and sales workers	EST	2018	Male	1140
Total	SWZ	2016	Male	326
1. Managers	SWZ	2016	Male	775
2. Professionals	SWZ	2016	Male	555
3. Technicians and associate professionals	SWZ	2016	Male	486
4. Clerical support workers	SWZ	2016	Male	404
5. Service and sales workers	SWZ	2016	Male	354
6. Skilled agricultural, forestry and fishery workers	SWZ	2016	Male	187
7. Craft and related trades workers	SWZ	2016	Male	228
8. Plant and machine operators, and assemblers	SWZ	2016	Male	289
9. Elementary occupations	SWZ	2016	Male	141
Total	SWZ	2016	Female	292
1. Managers	SWZ	2016	Female	646
2. Professionals	SWZ	2016	Female	504
3. Technicians and associate professionals	SWZ	2016	Female	387
4. Clerical support workers	SWZ	2016	Female	450
5. Service and sales workers	SWZ	2016	Female	286
6. Skilled agricultural, forestry and fishery workers	SWZ	2016	Female	106
7. Craft and related trades workers	SWZ	2016	Female	143
8. Plant and machine operators, and assemblers	SWZ	2016	Female	159
9. Elementary occupations	SWZ	2016	Female	148
Total	ETH	2013	Male	82
Total	ETH	2013	Female	56
3. Technicians and associate professionals	ETH	2013	Male	102
4. Clerical support workers	ETH	2013	Male	102
8. Plant and machine operators, and assemblers	ETH	2013	Male	92
9. Elementary occupations	ETH	2013	Male	43
X. Not elsewhere classified	ETH	2013	Male	84
X. Not elsewhere classified	ETH	2013	Female	69
1. Managers	ETH	2013	Female	134
1. Managers	ETH	2013	Male	156
2. Professionals	ETH	2013	Male	120
7. Craft and related trades workers	ETH	2013	Male	77
5. Service and sales workers	ETH	2013	Female	29
5. Service and sales workers	ETH	2013	Male	52
6. Skilled agricultural, forestry and fishery workers	ETH	2013	Male	42
3. Technicians and associate professionals	ETH	2013	Female	86
7. Craft and related trades workers	ETH	2013	Female	37
8. Plant and machine operators, and assemblers	ETH	2013	Female	58
9. Elementary occupations	ETH	2013	Female	27
4. Clerical support workers	ETH	2013	Female	81
2. Professionals	ETH	2013	Female	95
6. Skilled agricultural, forestry and fishery workers	ETH	2013	Female	39
9. Elementary occupations	FJI	2011	Male	263
0. Armed forces occupations	FJI	2011	Male	800
8. Plant and machine operators, and assemblers	FJI	2011	Male	400
Total	FJI	2011	Male	520
1. Managers	FJI	2011	Male	1268
2. Professionals	FJI	2011	Male	1090
7. Craft and related trades workers	FJI	2016	Female	280
5. Service and sales workers	FJI	2011	Male	400
6. Skilled agricultural, forestry and fishery workers	FJI	2011	Male	359
7. Craft and related trades workers	FJI	2011	Male	367
6. Skilled agricultural, forestry and fishery workers	FJI	2016	Female	305
9. Elementary occupations	FJI	2011	Female	215
8. Plant and machine operators, and assemblers	FJI	2016	Female	320
9. Elementary occupations	FJI	2016	Female	236
Total	FJI	2011	Female	503
1. Managers	FJI	2011	Female	1446
2. Professionals	FJI	2011	Female	881
3. Technicians and associate professionals	FJI	2011	Female	652
3. Technicians and associate professionals	FJI	2011	Male	687
4. Clerical support workers	FJI	2011	Male	679
4. Clerical support workers	FJI	2016	Female	501
5. Service and sales workers	FJI	2016	Female	348
8. Plant and machine operators, and assemblers	FJI	2011	Female	233
4. Clerical support workers	FJI	2011	Female	461
5. Service and sales workers	FJI	2011	Female	329
6. Skilled agricultural, forestry and fishery workers	FJI	2011	Female	42
7. Craft and related trades workers	FJI	2011	Female	309
Total	FJI	2016	Male	547
1. Managers	FJI	2016	Male	1150
2. Professionals	FJI	2016	Male	997
3. Technicians and associate professionals	FJI	2016	Male	705
1. Managers	FJI	2016	Female	987
2. Professionals	FJI	2016	Female	785
3. Technicians and associate professionals	FJI	2016	Female	673
5. Service and sales workers	FJI	2016	Male	450
6. Skilled agricultural, forestry and fishery workers	FJI	2016	Male	331
7. Craft and related trades workers	FJI	2016	Male	412
4. Clerical support workers	FJI	2016	Male	619
9. Elementary occupations	FJI	2016	Male	319
Total	FJI	2016	Female	509
8. Plant and machine operators, and assemblers	FJI	2016	Male	492
3. Technicians and associate professionals	FIN	2011	Male	4811
4. Clerical support workers	FIN	2011	Male	3334
Total	FIN	2011	Male	4577
1. Managers	FIN	2011	Male	8231
2. Professionals	FIN	2011	Male	5880
0. Armed forces occupations	FIN	2010	Female	3964
X. Not elsewhere classified	FIN	2010	Female	2571
5. Service and sales workers	FIN	2011	Male	3181
6. Skilled agricultural, forestry and fishery workers	FIN	2011	Male	3009
7. Craft and related trades workers	FIN	2011	Male	3934
8. Plant and machine operators, and assemblers	FIN	2011	Male	4034
9. Elementary occupations	FIN	2011	Male	3165
X. Not elsewhere classified	FIN	2010	Male	3663
Total	FIN	2010	Female	3628
1. Managers	FIN	2010	Female	6017
2. Professionals	FIN	2010	Female	4647
3. Technicians and associate professionals	FIN	2010	Female	3704
4. Clerical support workers	FIN	2010	Female	3241
5. Service and sales workers	FIN	2010	Female	2911
6. Skilled agricultural, forestry and fishery workers	FIN	2010	Female	2614
7. Craft and related trades workers	FIN	2010	Female	3088
8. Plant and machine operators, and assemblers	FIN	2010	Female	3149
9. Elementary occupations	FIN	2010	Female	2584
Total	FIN	2015	Male	3762
1. Managers	FIN	2015	Male	7312
2. Professionals	FIN	2015	Male	5031
3. Technicians and associate professionals	FIN	2015	Male	4074
4. Clerical support workers	FIN	2015	Male	2755
5. Service and sales workers	FIN	2015	Male	2630
6. Skilled agricultural, forestry and fishery workers	FIN	2015	Male	2519
7. Craft and related trades workers	FIN	2015	Male	3019
8. Plant and machine operators, and assemblers	FIN	2015	Male	3213
9. Elementary occupations	FIN	2015	Male	2435
0. Armed forces occupations	FIN	2015	Male	5029
X. Not elsewhere classified	FIN	2015	Male	3246
Total	FIN	2015	Female	3027
1. Managers	FIN	2015	Female	5907
2. Professionals	FIN	2015	Female	4184
3. Technicians and associate professionals	FIN	2015	Female	3224
Total	FIN	2010	Male	4457
1. Managers	FIN	2010	Male	7663
2. Professionals	FIN	2010	Male	5569
3. Technicians and associate professionals	FIN	2010	Male	4572
4. Clerical support workers	FIN	2010	Male	3511
5. Service and sales workers	FIN	2010	Male	3480
6. Skilled agricultural, forestry and fishery workers	FIN	2010	Male	2781
7. Craft and related trades workers	FIN	2010	Male	3712
8. Plant and machine operators, and assemblers	FIN	2010	Male	3758
9. Elementary occupations	FIN	2010	Male	3210
0. Armed forces occupations	FIN	2010	Male	5256
X. Not elsewhere classified	FIN	2014	Female	2646
5. Service and sales workers	FIN	2020	Female	2461
6. Skilled agricultural, forestry and fishery workers	FIN	2020	Female	2511
7. Craft and related trades workers	FIN	2020	Female	2803
8. Plant and machine operators, and assemblers	FIN	2020	Female	2869
9. Elementary occupations	FIN	2020	Female	2030
0. Armed forces occupations	FIN	2020	Female	4498
X. Not elsewhere classified	FIN	2020	Female	2895
Total	FIN	2013	Male	4603
1. Managers	FIN	2013	Male	8491
2. Professionals	FIN	2013	Male	5919
3. Technicians and associate professionals	FIN	2013	Male	4840
4. Clerical support workers	FIN	2013	Male	3229
5. Service and sales workers	FIN	2013	Male	3153
6. Skilled agricultural, forestry and fishery workers	FIN	2013	Male	3035
4. Clerical support workers	FIN	2015	Female	2739
5. Service and sales workers	FIN	2015	Female	2281
6. Skilled agricultural, forestry and fishery workers	FIN	2015	Female	2365
7. Craft and related trades workers	FIN	2015	Female	2583
8. Plant and machine operators, and assemblers	FIN	2015	Female	2685
9. Elementary occupations	FIN	2015	Female	1912
0. Armed forces occupations	FIN	2011	Male	5259
X. Not elsewhere classified	FIN	2011	Male	4245
Total	FIN	2011	Female	3576
1. Managers	FIN	2011	Female	6641
2. Professionals	FIN	2011	Female	4876
3. Technicians and associate professionals	FIN	2011	Female	3821
4. Clerical support workers	FIN	2011	Female	3267
5. Service and sales workers	FIN	2011	Female	2716
6. Skilled agricultural, forestry and fishery workers	FIN	2011	Female	2845
7. Craft and related trades workers	FIN	2011	Female	3202
8. Plant and machine operators, and assemblers	FIN	2011	Female	3293
9. Elementary occupations	FIN	2011	Female	2453
0. Armed forces occupations	FIN	2011	Female	4021
X. Not elsewhere classified	FIN	2011	Female	3657
3. Technicians and associate professionals	FIN	2020	Female	3411
4. Clerical support workers	FIN	2020	Female	2916
Total	FIN	2014	Male	4591
1. Managers	FIN	2014	Male	8574
2. Professionals	FIN	2014	Male	5964
3. Technicians and associate professionals	FIN	2014	Male	4834
4. Clerical support workers	FIN	2014	Male	3339
5. Service and sales workers	FIN	2014	Male	3130
6. Skilled agricultural, forestry and fishery workers	FIN	2014	Male	3046
7. Craft and related trades workers	FIN	2014	Male	3946
8. Plant and machine operators, and assemblers	FIN	2014	Male	4075
9. Elementary occupations	FIN	2014	Male	3147
0. Armed forces occupations	FIN	2014	Male	5768
X. Not elsewhere classified	FIN	2014	Male	3640
Total	FIN	2014	Female	3629
1. Managers	FIN	2014	Female	6851
2. Professionals	FIN	2014	Female	4969
3. Technicians and associate professionals	FIN	2014	Female	3830
4. Clerical support workers	FIN	2014	Female	3263
5. Service and sales workers	FIN	2014	Female	2722
6. Skilled agricultural, forestry and fishery workers	FIN	2014	Female	2892
7. Craft and related trades workers	FIN	2014	Female	3317
8. Plant and machine operators, and assemblers	FIN	2014	Female	3438
9. Elementary occupations	FIN	2014	Female	2478
0. Armed forces occupations	FIN	2014	Female	4977
Total	FIN	2019	Male	3930
1. Managers	FIN	2019	Male	7777
2. Professionals	FIN	2019	Male	5108
3. Technicians and associate professionals	FIN	2019	Male	4199
4. Clerical support workers	FIN	2019	Male	3043
5. Service and sales workers	FIN	2019	Male	2771
6. Skilled agricultural, forestry and fishery workers	FIN	2019	Male	2545
7. Craft and related trades workers	FIN	2019	Male	3227
8. Plant and machine operators, and assemblers	FIN	2019	Male	3346
9. Elementary occupations	FIN	2019	Male	2389
0. Armed forces occupations	FIN	2019	Male	5129
X. Not elsewhere classified	FIN	2019	Male	3268
Total	FIN	2019	Female	3158
1. Managers	FIN	2019	Female	6262
2. Professionals	FIN	2019	Female	4316
3. Technicians and associate professionals	FIN	2019	Female	3278
4. Clerical support workers	FIN	2019	Female	2818
5. Service and sales workers	FIN	2019	Female	2358
6. Skilled agricultural, forestry and fishery workers	FIN	2019	Female	2462
7. Craft and related trades workers	FIN	2019	Female	2748
8. Plant and machine operators, and assemblers	FIN	2019	Female	2792
9. Elementary occupations	FIN	2019	Female	1968
0. Armed forces occupations	FIN	2019	Female	4433
X. Not elsewhere classified	FIN	2019	Female	3104
0. Armed forces occupations	FIN	2015	Female	4057
X. Not elsewhere classified	FIN	2015	Female	2825
Total	FIN	2017	Male	3866
1. Managers	FIN	2017	Male	7549
2. Professionals	FIN	2017	Male	5125
3. Technicians and associate professionals	FIN	2017	Male	4156
4. Clerical support workers	FIN	2017	Male	2872
5. Service and sales workers	FIN	2017	Male	2660
6. Skilled agricultural, forestry and fishery workers	FIN	2017	Male	2424
7. Craft and related trades workers	FIN	2017	Male	3141
8. Plant and machine operators, and assemblers	FIN	2017	Male	3325
9. Elementary occupations	FIN	2017	Male	2498
0. Armed forces occupations	FIN	2017	Male	5090
X. Not elsewhere classified	FIN	2017	Male	2900
Total	FIN	2017	Female	3099
1. Managers	FIN	2017	Female	6173
2. Professionals	FIN	2017	Female	4278
3. Technicians and associate professionals	FIN	2017	Female	3268
4. Clerical support workers	FIN	2017	Female	2786
5. Service and sales workers	FIN	2017	Female	2337
6. Skilled agricultural, forestry and fishery workers	FIN	2017	Female	2258
7. Craft and related trades workers	FIN	2017	Female	2699
7. Craft and related trades workers	FIN	2013	Male	3959
8. Plant and machine operators, and assemblers	FIN	2013	Male	4095
9. Elementary occupations	FIN	2013	Male	3198
0. Armed forces occupations	FIN	2013	Male	5475
X. Not elsewhere classified	FIN	2013	Male	3996
Total	FIN	2013	Female	3611
1. Managers	FIN	2013	Female	6844
2. Professionals	FIN	2013	Female	4898
3. Technicians and associate professionals	FIN	2013	Female	3845
4. Clerical support workers	FIN	2013	Female	3226
5. Service and sales workers	FIN	2013	Female	2728
6. Skilled agricultural, forestry and fishery workers	FIN	2013	Female	2873
7. Craft and related trades workers	FIN	2013	Female	3299
8. Plant and machine operators, and assemblers	FIN	2013	Female	3387
9. Elementary occupations	FIN	2013	Female	2489
0. Armed forces occupations	FIN	2013	Female	4496
X. Not elsewhere classified	FIN	2013	Female	3456
7. Craft and related trades workers	FIN	2018	Male	3315
8. Plant and machine operators, and assemblers	FIN	2018	Male	3432
9. Elementary occupations	FIN	2018	Male	2564
0. Armed forces occupations	FIN	2018	Male	5409
X. Not elsewhere classified	FIN	2018	Male	3101
Total	FIN	2018	Female	3274
1. Managers	FIN	2018	Female	6455
2. Professionals	FIN	2018	Female	4486
3. Technicians and associate professionals	FIN	2018	Female	3394
4. Clerical support workers	FIN	2018	Female	2936
5. Service and sales workers	FIN	2018	Female	2459
6. Skilled agricultural, forestry and fishery workers	FIN	2018	Female	2507
7. Craft and related trades workers	FIN	2018	Female	2837
8. Plant and machine operators, and assemblers	FIN	2018	Female	2858
9. Elementary occupations	FIN	2018	Female	2045
0. Armed forces occupations	FIN	2018	Female	4525
X. Not elsewhere classified	FIN	2018	Female	2931
4. Clerical support workers	FIN	2020	Male	3126
5. Service and sales workers	FIN	2020	Male	2845
6. Skilled agricultural, forestry and fishery workers	FIN	2020	Male	2626
7. Craft and related trades workers	FIN	2020	Male	3338
8. Plant and machine operators, and assemblers	FIN	2020	Male	3389
9. Elementary occupations	FIN	2020	Male	2485
0. Armed forces occupations	FIN	2020	Male	5353
X. Not elsewhere classified	FIN	2020	Male	3107
Total	FIN	2020	Female	3286
1. Managers	FIN	2020	Female	6458
2. Professionals	FIN	2020	Female	4487
6. Skilled agricultural, forestry and fishery workers	FIN	2018	Male	2600
2. Professionals	FIN	2020	Male	5300
3. Technicians and associate professionals	FIN	2020	Male	4341
8. Plant and machine operators, and assemblers	FIN	2017	Female	2777
9. Elementary occupations	FIN	2017	Female	1968
0. Armed forces occupations	FIN	2017	Female	4285
X. Not elsewhere classified	FIN	2017	Female	2453
Total	FIN	2020	Male	4055
1. Managers	FIN	2020	Male	8022
Total	FIN	2018	Male	4074
4. Clerical support workers	FIN	2018	Male	3209
1. Managers	FIN	2018	Male	8019
2. Professionals	FIN	2018	Male	5346
3. Technicians and associate professionals	FIN	2018	Male	4349
5. Service and sales workers	FIN	2018	Male	2834
Total	FRA	2014	Male	4032
9. Elementary occupations	FRA	2014	Male	2494
Total	FRA	2014	Female	3304
1. Managers	FRA	2014	Female	5933
2. Professionals	FRA	2014	Female	4144
3. Technicians and associate professionals	FRA	2014	Female	3412
1. Managers	FRA	2014	Male	7764
2. Professionals	FRA	2014	Male	5524
3. Technicians and associate professionals	FRA	2014	Male	3907
Total	FRA	2010	Female	3052
1. Managers	FRA	2010	Female	5401
2. Professionals	FRA	2010	Female	4067
3. Technicians and associate professionals	FRA	2010	Female	3228
4. Clerical support workers	FRA	2010	Female	2581
4. Clerical support workers	FRA	2014	Female	2794
5. Service and sales workers	FRA	2014	Female	2541
6. Skilled agricultural, forestry and fishery workers	FRA	2014	Female	2754
4. Clerical support workers	FRA	2014	Male	2912
5. Service and sales workers	FRA	2014	Male	2896
6. Skilled agricultural, forestry and fishery workers	FRA	2014	Male	2419
7. Craft and related trades workers	FRA	2014	Male	2919
8. Plant and machine operators, and assemblers	FRA	2014	Male	3014
9. Elementary occupations	FRA	2010	Male	2214
5. Service and sales workers	FRA	2010	Female	2385
6. Skilled agricultural, forestry and fishery workers	FRA	2010	Female	2028
7. Craft and related trades workers	FRA	2010	Female	2321
Total	FRA	2010	Male	3707
9. Elementary occupations	FRA	2010	Female	2103
9. Elementary occupations	FRA	2014	Female	2215
8. Plant and machine operators, and assemblers	FRA	2010	Female	2323
4. Clerical support workers	FRA	2010	Male	2697
1. Managers	FRA	2010	Male	7128
2. Professionals	FRA	2010	Male	5377
8. Plant and machine operators, and assemblers	FRA	2010	Male	2739
7. Craft and related trades workers	FRA	2010	Male	2596
7. Craft and related trades workers	FRA	2014	Female	2411
8. Plant and machine operators, and assemblers	FRA	2014	Female	2519
3. Technicians and associate professionals	FRA	2010	Male	3671
6. Skilled agricultural, forestry and fishery workers	FRA	2010	Male	2166
5. Service and sales workers	FRA	2010	Male	2641
6. Skilled agricultural, forestry and fishery workers	GMB	2012	Male	250
7. Craft and related trades workers	GMB	2012	Male	323
8. Plant and machine operators, and assemblers	GMB	2012	Male	86
5. Service and sales workers	GMB	2012	Male	186
0. Armed forces occupations	GMB	2018	Male	75
X. Not elsewhere classified	GMB	2018	Male	69
9. Elementary occupations	GMB	2012	Male	68
4. Clerical support workers	GMB	2012	Male	108
6. Skilled agricultural, forestry and fishery workers	GMB	2012	Female	55
Total	GMB	2018	Female	77
9. Elementary occupations	GMB	2012	Female	48
1. Managers	GMB	2018	Female	162
2. Professionals	GMB	2018	Female	108
7. Craft and related trades workers	GMB	2012	Female	60
X. Not elsewhere classified	GMB	2012	Male	53
Total	GMB	2012	Female	88
1. Managers	GMB	2012	Female	165
0. Armed forces occupations	GMB	2012	Male	148
2. Professionals	GMB	2012	Male	175
3. Technicians and associate professionals	GMB	2012	Male	159
5. Service and sales workers	GMB	2012	Female	143
2. Professionals	GMB	2012	Female	93
3. Technicians and associate professionals	GMB	2012	Female	152
4. Clerical support workers	GMB	2012	Female	102
8. Plant and machine operators, and assemblers	GMB	2018	Male	83
9. Elementary occupations	GMB	2018	Male	71
8. Plant and machine operators, and assemblers	GMB	2018	Female	88
9. Elementary occupations	GMB	2018	Female	56
0. Armed forces occupations	GMB	2018	Female	69
0. Armed forces occupations	GMB	2012	Female	85
X. Not elsewhere classified	GMB	2012	Female	81
Total	GMB	2012	Male	191
1. Managers	GMB	2012	Male	325
7. Craft and related trades workers	GMB	2018	Male	74
6. Skilled agricultural, forestry and fishery workers	GMB	2018	Female	78
7. Craft and related trades workers	GMB	2018	Female	80
Total	GMB	2018	Male	85
1. Managers	GMB	2018	Male	178
2. Professionals	GMB	2018	Male	104
3. Technicians and associate professionals	GMB	2018	Female	94
4. Clerical support workers	GMB	2018	Female	80
5. Service and sales workers	GMB	2018	Female	66
X. Not elsewhere classified	GMB	2018	Female	208
6. Skilled agricultural, forestry and fishery workers	GMB	2018	Male	75
3. Technicians and associate professionals	GMB	2018	Male	99
4. Clerical support workers	GMB	2018	Male	90
5. Service and sales workers	GMB	2018	Male	76
Total	DEU	2018	Male	4199
2. Professionals	DEU	2018	Male	6364
5. Service and sales workers	DEU	2010	Female	2620
6. Skilled agricultural, forestry and fishery workers	DEU	2010	Female	2321
3. Technicians and associate professionals	DEU	2010	Female	3831
