"sectorID"	"countryName"	"year"	"sex"	"monthlyEarnings"
"5. Service and sales workers"	"Ecuador"	2019	"Male"	527
"6. Skilled agricultural, forestry and fishery workers"	"Ecuador"	2019	"Male"	291
"7. Craft and related trades workers"	"Ecuador"	2019	"Male"	445
"8. Plant and machine operators, and assemblers"	"Ecuador"	2019	"Male"	545
"9. Elementary occupations"	"Ecuador"	2019	"Male"	337
"0. Armed forces occupations"	"Ecuador"	2019	"Male"	981
"3. Technicians and associate professionals"	"Ecuador"	2018	"Male"	785
"4. Clerical support workers"	"Ecuador"	2018	"Male"	568
"5. Service and sales workers"	"Ecuador"	2018	"Male"	522
"6. Skilled agricultural, forestry and fishery workers"	"Ecuador"	2018	"Male"	299
"7. Craft and related trades workers"	"Ecuador"	2018	"Male"	440
"8. Plant and machine operators, and assemblers"	"Ecuador"	2018	"Male"	537
"9. Elementary occupations"	"Ecuador"	2018	"Male"	337
"0. Armed forces occupations"	"Ecuador"	2018	"Male"	951
"Total"	"Ecuador"	2018	"Female"	520
"4. Clerical support workers"	"Ecuador"	2013	"Female"	467
"5. Service and sales workers"	"Ecuador"	2013	"Female"	351
"6. Skilled agricultural, forestry and fishery workers"	"Ecuador"	2013	"Female"	262
"7. Craft and related trades workers"	"Ecuador"	2013	"Female"	287
"8. Plant and machine operators, and assemblers"	"Ecuador"	2013	"Female"	339
"9. Elementary occupations"	"Ecuador"	2013	"Female"	253
"1. Managers"	"Ecuador"	2021	"Male"	1592
"2. Professionals"	"Ecuador"	2021	"Male"	1027
"3. Technicians and associate professionals"	"Ecuador"	2021	"Male"	738
"4. Clerical support workers"	"Ecuador"	2021	"Male"	554
"5. Service and sales workers"	"Ecuador"	2021	"Male"	482
"6. Skilled agricultural, forestry and fishery workers"	"Ecuador"	2021	"Male"	282
"0. Armed forces occupations"	"Ecuador"	2020	"Total"	1055
"Total"	"Ecuador"	2020	"Male"	447
"1. Managers"	"Ecuador"	2020	"Male"	1355
"Total"	"Ecuador"	2013	"Total"	453
"1. Managers"	"Ecuador"	2013	"Total"	1326
"2. Professionals"	"Ecuador"	2013	"Total"	794
"3. Technicians and associate professionals"	"Ecuador"	2013	"Total"	652
"4. Clerical support workers"	"Ecuador"	2013	"Total"	488
"5. Service and sales workers"	"Ecuador"	2013	"Total"	400
"6. Skilled agricultural, forestry and fishery workers"	"Ecuador"	2016	"Female"	265
"7. Craft and related trades workers"	"Ecuador"	2016	"Female"	317
"8. Plant and machine operators, and assemblers"	"Ecuador"	2016	"Female"	384
"9. Elementary occupations"	"Ecuador"	2016	"Female"	297
"0. Armed forces occupations"	"Ecuador"	2016	"Female"	659
"Total"	"Ecuador"	2017	"Total"	500
"1. Managers"	"Ecuador"	2017	"Total"	1424
"2. Professionals"	"Ecuador"	2017	"Total"	904
"3. Technicians and associate professionals"	"Ecuador"	2017	"Total"	709
"4. Clerical support workers"	"Ecuador"	2017	"Total"	524
"5. Service and sales workers"	"Ecuador"	2017	"Total"	431
"6. Skilled agricultural, forestry and fishery workers"	"Ecuador"	2017	"Total"	287
"7. Craft and related trades workers"	"Ecuador"	2017	"Total"	414
"8. Plant and machine operators, and assemblers"	"Ecuador"	2017	"Total"	514
"9. Elementary occupations"	"Ecuador"	2017	"Total"	324
"0. Armed forces occupations"	"Ecuador"	2017	"Total"	916
"Total"	"Ecuador"	2017	"Male"	500
"1. Managers"	"Ecuador"	2017	"Male"	1478
"2. Professionals"	"Ecuador"	2017	"Male"	1037
"3. Technicians and associate professionals"	"Ecuador"	2017	"Male"	762
"4. Clerical support workers"	"Ecuador"	2017	"Male"	539
"5. Service and sales workers"	"Ecuador"	2017	"Male"	492
"6. Skilled agricultural, forestry and fishery workers"	"Ecuador"	2017	"Male"	296
"7. Craft and related trades workers"	"Ecuador"	2017	"Male"	423
"8. Plant and machine operators, and assemblers"	"Ecuador"	2017	"Male"	525
"9. Elementary occupations"	"Ecuador"	2017	"Male"	333
"0. Armed forces occupations"	"Ecuador"	2017	"Male"	910
"Total"	"Ecuador"	2014	"Total"	486
"1. Managers"	"Ecuador"	2014	"Total"	1479
"2. Professionals"	"Ecuador"	2014	"Total"	880
"3. Technicians and associate professionals"	"Ecuador"	2014	"Total"	699
"4. Clerical support workers"	"Ecuador"	2014	"Total"	502
"5. Service and sales workers"	"Ecuador"	2014	"Total"	431
"6. Skilled agricultural, forestry and fishery workers"	"Ecuador"	2014	"Total"	309
"7. Craft and related trades workers"	"Ecuador"	2014	"Total"	405
"8. Plant and machine operators, and assemblers"	"Ecuador"	2014	"Total"	506
"9. Elementary occupations"	"Ecuador"	2014	"Total"	293
"0. Armed forces occupations"	"Ecuador"	2014	"Total"	1030
"Total"	"Ecuador"	2014	"Male"	483
"1. Managers"	"Ecuador"	2014	"Male"	1598
"2. Professionals"	"Ecuador"	2014	"Male"	993
"3. Technicians and associate professionals"	"Ecuador"	2014	"Male"	752
"4. Clerical support workers"	"Ecuador"	2014	"Male"	512
"5. Service and sales workers"	"Ecuador"	2014	"Male"	484
"6. Skilled agricultural, forestry and fishery workers"	"Ecuador"	2014	"Male"	313
"7. Craft and related trades workers"	"Ecuador"	2014	"Male"	415
"8. Plant and machine operators, and assemblers"	"Ecuador"	2014	"Male"	519
"5. Service and sales workers"	"Ecuador"	2015	"Female"	363
"6. Skilled agricultural, forestry and fishery workers"	"Ecuador"	2015	"Female"	300
"7. Craft and related trades workers"	"Ecuador"	2015	"Female"	328
"1. Managers"	"Ecuador"	2014	"Female"	1297
"2. Professionals"	"Ecuador"	2014	"Female"	797
"3. Technicians and associate professionals"	"Ecuador"	2014	"Female"	636
"4. Clerical support workers"	"Ecuador"	2014	"Female"	493
"5. Service and sales workers"	"Ecuador"	2014	"Female"	363
"6. Skilled agricultural, forestry and fishery workers"	"Ecuador"	2014	"Female"	296
"7. Craft and related trades workers"	"Ecuador"	2014	"Female"	322
"8. Plant and machine operators, and assemblers"	"Ecuador"	2014	"Female"	371
"9. Elementary occupations"	"Ecuador"	2014	"Female"	290
"0. Armed forces occupations"	"Ecuador"	2014	"Female"	1042
"1. Managers"	"Ecuador"	2018	"Female"	1367
"2. Professionals"	"Ecuador"	2018	"Female"	861
"3. Technicians and associate professionals"	"Ecuador"	2018	"Female"	678
"4. Clerical support workers"	"Ecuador"	2018	"Female"	526
"5. Service and sales workers"	"Ecuador"	2018	"Female"	363
"6. Skilled agricultural, forestry and fishery workers"	"Ecuador"	2018	"Female"	274
"7. Craft and related trades workers"	"Ecuador"	2018	"Female"	329
"8. Plant and machine operators, and assemblers"	"Ecuador"	2018	"Female"	388
"9. Elementary occupations"	"Ecuador"	2018	"Female"	326
"0. Armed forces occupations"	"Ecuador"	2018	"Female"	1207
"Total"	"Ecuador"	2019	"Total"	512
"1. Managers"	"Ecuador"	2019	"Total"	1559
"2. Professionals"	"Ecuador"	2019	"Total"	918
"3. Technicians and associate professionals"	"Ecuador"	2019	"Total"	740
"4. Clerical support workers"	"Ecuador"	2019	"Total"	559
"5. Service and sales workers"	"Ecuador"	2019	"Total"	454
"6. Skilled agricultural, forestry and fishery workers"	"Ecuador"	2019	"Total"	292
"7. Craft and related trades workers"	"Ecuador"	2019	"Total"	434
"8. Plant and machine operators, and assemblers"	"Ecuador"	2019	"Total"	530
"9. Elementary occupations"	"Ecuador"	2019	"Total"	332
"0. Armed forces occupations"	"Ecuador"	2019	"Total"	983
"Total"	"Ecuador"	2019	"Male"	506
"1. Managers"	"Ecuador"	2019	"Male"	1647
"2. Professionals"	"Ecuador"	2019	"Male"	1047
"3. Technicians and associate professionals"	"Ecuador"	2019	"Male"	777
"3. Technicians and associate professionals"	"Ecuador"	2015	"Female"	675
"4. Clerical support workers"	"Ecuador"	2015	"Female"	500
"9. Elementary occupations"	"Ecuador"	2019	"Female"	323
"0. Armed forces occupations"	"Ecuador"	2019	"Female"	1022
"Total"	"Ecuador"	2020	"Total"	472
"8. Plant and machine operators, and assemblers"	"Ecuador"	2015	"Female"	385
"Total"	"Ecuador"	2019	"Female"	525
"1. Managers"	"Ecuador"	2019	"Female"	1421
"2. Professionals"	"Ecuador"	2019	"Female"	840
"3. Technicians and associate professionals"	"Ecuador"	2019	"Female"	694
"4. Clerical support workers"	"Ecuador"	2019	"Female"	548
"5. Service and sales workers"	"Ecuador"	2019	"Female"	373
"6. Skilled agricultural, forestry and fishery workers"	"Ecuador"	2019	"Female"	295
"7. Craft and related trades workers"	"Ecuador"	2019	"Female"	350
"8. Plant and machine operators, and assemblers"	"Ecuador"	2019	"Female"	385
"8. Plant and machine operators, and assemblers"	"Ecuador"	2016	"Male"	529
"9. Elementary occupations"	"Ecuador"	2016	"Male"	325
"0. Armed forces occupations"	"Ecuador"	2016	"Male"	819
"1. Managers"	"Ecuador"	2020	"Total"	1339
"2. Professionals"	"Ecuador"	2020	"Total"	871
"3. Technicians and associate professionals"	"Ecuador"	2020	"Total"	646
"4. Clerical support workers"	"Ecuador"	2020	"Total"	521
"5. Service and sales workers"	"Ecuador"	2020	"Total"	429
"6. Skilled agricultural, forestry and fishery workers"	"Ecuador"	2020	"Total"	248
"7. Craft and related trades workers"	"Ecuador"	2020	"Total"	380
"8. Plant and machine operators, and assemblers"	"Ecuador"	2020	"Total"	444
"9. Elementary occupations"	"Ecuador"	2020	"Total"	293
"7. Craft and related trades workers"	"Ecuador"	2016	"Male"	422
"4. Clerical support workers"	"Ecuador"	2016	"Total"	500
"5. Service and sales workers"	"Ecuador"	2016	"Total"	427
"Total"	"Ecuador"	2015	"Total"	500
"Total"	"Ecuador"	2016	"Female"	496
"1. Managers"	"Ecuador"	2016	"Female"	1206
"2. Professionals"	"Ecuador"	2016	"Female"	797
"3. Technicians and associate professionals"	"Ecuador"	2016	"Female"	612
"4. Clerical support workers"	"Ecuador"	2016	"Female"	481
"5. Service and sales workers"	"Ecuador"	2016	"Female"	358
"3. Technicians and associate professionals"	"Ecuador"	2018	"Total"	737
"Total"	"Ecuador"	2015	"Female"	500
"1. Managers"	"Ecuador"	2015	"Female"	1269
"2. Professionals"	"Ecuador"	2015	"Female"	796
"4. Clerical support workers"	"Ecuador"	2017	"Female"	509
"5. Service and sales workers"	"Ecuador"	2017	"Female"	362
"6. Skilled agricultural, forestry and fishery workers"	"Ecuador"	2017	"Female"	239
"1. Managers"	"Ecuador"	2015	"Total"	1468
"2. Professionals"	"Ecuador"	2015	"Total"	887
"3. Technicians and associate professionals"	"Ecuador"	2015	"Total"	723
"4. Clerical support workers"	"Ecuador"	2015	"Total"	506
"9. Elementary occupations"	"Ecuador"	2015	"Female"	299
"0. Armed forces occupations"	"Ecuador"	2015	"Female"	646
"Total"	"Ecuador"	2016	"Total"	498
"1. Managers"	"Ecuador"	2016	"Total"	1360
"2. Professionals"	"Ecuador"	2016	"Total"	892
"3. Technicians and associate professionals"	"Ecuador"	2016	"Total"	675
"0. Armed forces occupations"	"Ecuador"	2015	"Total"	906
"Total"	"Ecuador"	2015	"Male"	500
"1. Managers"	"Ecuador"	2015	"Male"	1586
"7. Craft and related trades workers"	"Ecuador"	2017	"Female"	335
"8. Plant and machine operators, and assemblers"	"Ecuador"	2017	"Female"	399
"9. Elementary occupations"	"Ecuador"	2017	"Female"	309
"0. Armed forces occupations"	"Ecuador"	2017	"Female"	1056
"5. Service and sales workers"	"Ecuador"	2015	"Total"	435
"6. Skilled agricultural, forestry and fishery workers"	"Ecuador"	2015	"Total"	306
"Total"	"Ecuador"	2017	"Female"	501
"1. Managers"	"Ecuador"	2017	"Female"	1336
"2. Professionals"	"Ecuador"	2017	"Female"	817
"3. Technicians and associate professionals"	"Ecuador"	2017	"Female"	646
"4. Clerical support workers"	"Ecuador"	2016	"Male"	523
"5. Service and sales workers"	"Ecuador"	2016	"Male"	483
"6. Skilled agricultural, forestry and fishery workers"	"Ecuador"	2016	"Male"	300
"6. Skilled agricultural, forestry and fishery workers"	"Ecuador"	2016	"Total"	295
"7. Craft and related trades workers"	"Ecuador"	2016	"Total"	411
"8. Plant and machine operators, and assemblers"	"Ecuador"	2016	"Total"	517
"9. Elementary occupations"	"Ecuador"	2016	"Total"	315
"Total"	"Ecuador"	2018	"Total"	515
"1. Managers"	"Ecuador"	2018	"Total"	1621
"2. Professionals"	"Ecuador"	2018	"Total"	936
"0. Armed forces occupations"	"Ecuador"	2015	"Male"	913
"8. Plant and machine operators, and assemblers"	"Ecuador"	2015	"Total"	519
"9. Elementary occupations"	"Ecuador"	2015	"Total"	311
"3. Technicians and associate professionals"	"Ecuador"	2015	"Male"	766
"4. Clerical support workers"	"Ecuador"	2015	"Male"	512
"5. Service and sales workers"	"Ecuador"	2015	"Male"	495
"2. Professionals"	"Ecuador"	2015	"Male"	1018
"Total"	"Ecuador"	2016	"Male"	499
"1. Managers"	"Ecuador"	2016	"Male"	1459
"7. Craft and related trades workers"	"Ecuador"	2015	"Total"	419
"0. Armed forces occupations"	"Ecuador"	2016	"Total"	813
"3. Technicians and associate professionals"	"Ecuador"	2016	"Male"	731
"7. Craft and related trades workers"	"Ecuador"	2015	"Male"	430
"8. Plant and machine operators, and assemblers"	"Ecuador"	2015	"Male"	531
"2. Professionals"	"Ecuador"	2016	"Male"	1034
"6. Skilled agricultural, forestry and fishery workers"	"Ecuador"	2015	"Male"	308
"9. Elementary occupations"	"Ecuador"	2015	"Male"	317
"1. Managers"	"Egypt"	2010	"Total"	215
"2. Professionals"	"Egypt"	2010	"Total"	146
"Total"	"Egypt"	2010	"Total"	143
"5. Service and sales workers"	"Egypt"	2016	"Male"	269
"6. Skilled agricultural, forestry and fishery workers"	"Egypt"	2016	"Male"	1179
"7. Craft and related trades workers"	"Egypt"	2016	"Male"	321
"8. Plant and machine operators, and assemblers"	"Egypt"	2016	"Male"	272
"9. Elementary occupations"	"Egypt"	2016	"Male"	317
"Total"	"Egypt"	2016	"Female"	367
"1. Managers"	"Egypt"	2016	"Female"	783
"2. Professionals"	"Egypt"	2016	"Male"	466
"3. Technicians and associate professionals"	"Egypt"	2016	"Male"	418
"4. Clerical support workers"	"Egypt"	2016	"Male"	471
"3. Technicians and associate professionals"	"Egypt"	2017	"Female"	214
"4. Clerical support workers"	"Egypt"	2017	"Female"	275
"5. Service and sales workers"	"Egypt"	2017	"Female"	154
"6. Skilled agricultural, forestry and fishery workers"	"Egypt"	2017	"Female"	198
"7. Craft and related trades workers"	"Egypt"	2017	"Female"	172
"8. Plant and machine operators, and assemblers"	"Egypt"	2017	"Female"	96
"9. Elementary occupations"	"Egypt"	2017	"Female"	110
"2. Professionals"	"Egypt"	2016	"Female"	398
"3. Technicians and associate professionals"	"Egypt"	2016	"Female"	298
"4. Clerical support workers"	"Egypt"	2016	"Female"	418
"5. Service and sales workers"	"Egypt"	2016	"Female"	278
"6. Skilled agricultural, forestry and fishery workers"	"Egypt"	2016	"Female"	184
"7. Craft and related trades workers"	"Egypt"	2016	"Female"	221
"8. Plant and machine operators, and assemblers"	"Egypt"	2016	"Female"	171
"9. Elementary occupations"	"Egypt"	2016	"Female"	160
"2. Professionals"	"Egypt"	2015	"Total"	270
"3. Technicians and associate professionals"	"Egypt"	2015	"Total"	252
"4. Clerical support workers"	"Egypt"	2015	"Total"	242
"5. Service and sales workers"	"Egypt"	2015	"Total"	202
"6. Skilled agricultural, forestry and fishery workers"	"Egypt"	2015	"Total"	179
"7. Craft and related trades workers"	"Egypt"	2015	"Total"	213
"Total"	"Egypt"	2018	"Total"	269
"3. Technicians and associate professionals"	"Egypt"	2010	"Total"	130
"1. Managers"	"Egypt"	2016	"Male"	837
"Total"	"Egypt"	2017	"Female"	240
"1. Managers"	"Egypt"	2017	"Female"	552
"2. Professionals"	"Egypt"	2017	"Female"	240
"1. Managers"	"Egypt"	2015	"Total"	381
"9. Elementary occupations"	"Egypt"	2010	"Total"	98
"Total"	"Egypt"	2017	"Total"	256
"1. Managers"	"Egypt"	2017	"Total"	536
"2. Professionals"	"Egypt"	2017	"Total"	290
"3. Technicians and associate professionals"	"Egypt"	2017	"Total"	245
"4. Clerical support workers"	"Egypt"	2017	"Total"	279
"5. Service and sales workers"	"Egypt"	2017	"Total"	175
"6. Skilled agricultural, forestry and fishery workers"	"Egypt"	2017	"Total"	151
"4. Clerical support workers"	"Egypt"	2010	"Total"	128
"5. Service and sales workers"	"Egypt"	2010	"Total"	126
"6. Skilled agricultural, forestry and fishery workers"	"Egypt"	2010	"Total"	162
"7. Craft and related trades workers"	"Egypt"	2010	"Total"	164
"8. Plant and machine operators, and assemblers"	"Egypt"	2010	"Total"	156
"1. Managers"	"Egypt"	2016	"Total"	828
"2. Professionals"	"Egypt"	2016	"Total"	444
"3. Technicians and associate professionals"	"Egypt"	2016	"Total"	409
"4. Clerical support workers"	"Egypt"	2016	"Total"	458
"5. Service and sales workers"	"Egypt"	2016	"Total"	270
"6. Skilled agricultural, forestry and fishery workers"	"Egypt"	2016	"Total"	1066
"7. Craft and related trades workers"	"Egypt"	2016	"Total"	315
"8. Plant and machine operators, and assemblers"	"Egypt"	2016	"Total"	259
"9. Elementary occupations"	"Egypt"	2016	"Total"	299
"Total"	"Egypt"	2016	"Male"	415
"Total"	"Egypt"	2020	"Male"	197
"1. Managers"	"Egypt"	2020	"Male"	251
"2. Professionals"	"Egypt"	2020	"Male"	214
"3. Technicians and associate professionals"	"Egypt"	2020	"Male"	194
"4. Clerical support workers"	"Egypt"	2020	"Male"	185
"5. Service and sales workers"	"Egypt"	2020	"Male"	161
"6. Skilled agricultural, forestry and fishery workers"	"Egypt"	2020	"Male"	195
"7. Craft and related trades workers"	"Egypt"	2020	"Male"	217
"8. Plant and machine operators, and assemblers"	"Egypt"	2020	"Male"	194
"9. Elementary occupations"	"Egypt"	2020	"Male"	170
"Total"	"Egypt"	2020	"Female"	150
"1. Managers"	"Egypt"	2020	"Female"	221
"2. Professionals"	"Egypt"	2020	"Female"	158
"3. Technicians and associate professionals"	"Egypt"	2020	"Female"	159
"4. Clerical support workers"	"Egypt"	2020	"Female"	165
"5. Service and sales workers"	"Egypt"	2020	"Female"	103
"6. Skilled agricultural, forestry and fishery workers"	"Egypt"	2020	"Female"	119
"7. Craft and related trades workers"	"Egypt"	2020	"Female"	116
"8. Plant and machine operators, and assemblers"	"Egypt"	2020	"Female"	105
"9. Elementary occupations"	"Egypt"	2020	"Female"	113
"0. Armed forces occupations"	"Egypt"	2010	"Total"	168
"Total"	"Egypt"	2010	"Male"	151
"1. Managers"	"Egypt"	2010	"Male"	229
"2. Professionals"	"Egypt"	2010	"Male"	165
"3. Technicians and associate professionals"	"Egypt"	2010	"Male"	143
"4. Clerical support workers"	"Egypt"	2010	"Male"	136
"5. Service and sales workers"	"Egypt"	2010	"Male"	127
"6. Skilled agricultural, forestry and fishery workers"	"Egypt"	2010	"Male"	165
"7. Craft and related trades workers"	"Egypt"	2017	"Total"	206
"8. Plant and machine operators, and assemblers"	"Egypt"	2017	"Total"	169
"9. Elementary occupations"	"Egypt"	2017	"Total"	179
"Total"	"Egypt"	2017	"Male"	259
"1. Managers"	"Egypt"	2017	"Male"	533
"2. Professionals"	"Egypt"	2017	"Male"	317
"3. Technicians and associate professionals"	"Egypt"	2017	"Male"	247
"4. Clerical support workers"	"Egypt"	2017	"Male"	280
"5. Service and sales workers"	"Egypt"	2017	"Male"	179
"6. Skilled agricultural, forestry and fishery workers"	"Egypt"	2017	"Male"	150
"7. Craft and related trades workers"	"Egypt"	2017	"Male"	208
"8. Plant and machine operators, and assemblers"	"Egypt"	2017	"Male"	177
"9. Elementary occupations"	"Egypt"	2017	"Male"	188
"9. Elementary occupations"	"Egypt"	2010	"Female"	75
"0. Armed forces occupations"	"Egypt"	2010	"Female"	137
"Total"	"Egypt"	2015	"Total"	238
"3. Technicians and associate professionals"	"Egypt"	2019	"Total"	317
"4. Clerical support workers"	"Egypt"	2019	"Total"	370
"5. Service and sales workers"	"Egypt"	2019	"Total"	303
"6. Skilled agricultural, forestry and fishery workers"	"Egypt"	2019	"Total"	282
"7. Craft and related trades workers"	"Egypt"	2019	"Total"	299
"8. Plant and machine operators, and assemblers"	"Egypt"	2019	"Total"	247
"9. Elementary occupations"	"Egypt"	2019	"Total"	247
"8. Plant and machine operators, and assemblers"	"Egypt"	2015	"Total"	214
"1. Managers"	"Egypt"	2018	"Total"	507
"2. Professionals"	"Egypt"	2018	"Total"	301
"3. Technicians and associate professionals"	"Egypt"	2018	"Total"	259
"4. Clerical support workers"	"Egypt"	2018	"Total"	277
"5. Service and sales workers"	"Egypt"	2018	"Total"	176
"6. Skilled agricultural, forestry and fishery workers"	"Egypt"	2018	"Total"	208
"7. Craft and related trades workers"	"Egypt"	2018	"Total"	234
"8. Plant and machine operators, and assemblers"	"Egypt"	2018	"Total"	190
"7. Craft and related trades workers"	"Egypt"	2015	"Male"	214
"8. Plant and machine operators, and assemblers"	"Egypt"	2015	"Male"	221
"9. Elementary occupations"	"Egypt"	2015	"Male"	181
"Total"	"Egypt"	2015	"Female"	220
"1. Managers"	"Egypt"	2015	"Female"	358
"2. Professionals"	"Egypt"	2015	"Female"	235
"3. Technicians and associate professionals"	"Egypt"	2015	"Female"	225
"4. Clerical support workers"	"Egypt"	2015	"Female"	205
"7. Craft and related trades workers"	"Egypt"	2010	"Male"	165
"8. Plant and machine operators, and assemblers"	"Egypt"	2010	"Male"	161
"9. Elementary occupations"	"Egypt"	2010	"Male"	100
"0. Armed forces occupations"	"Egypt"	2010	"Male"	177
"Total"	"Egypt"	2010	"Female"	113
"1. Managers"	"Egypt"	2010	"Female"	174
"2. Professionals"	"Egypt"	2010	"Female"	114
"3. Technicians and associate professionals"	"Egypt"	2010	"Female"	106
"4. Clerical support workers"	"Egypt"	2010	"Female"	111
"5. Service and sales workers"	"Egypt"	2010	"Female"	117
"6. Skilled agricultural, forestry and fishery workers"	"Egypt"	2010	"Female"	120
"7. Craft and related trades workers"	"Egypt"	2010	"Female"	130
"8. Plant and machine operators, and assemblers"	"Egypt"	2010	"Female"	78
"9. Elementary occupations"	"Egypt"	2020	"Total"	163
"Total"	"Egypt"	2019	"Total"	331
"1. Managers"	"Egypt"	2019	"Total"	478
"2. Professionals"	"Egypt"	2019	"Total"	366
"5. Service and sales workers"	"Egypt"	2015	"Male"	210
"6. Skilled agricultural, forestry and fishery workers"	"Egypt"	2015	"Male"	184
"7. Craft and related trades workers"	"Egypt"	2019	"Male"	304
"9. Elementary occupations"	"Egypt"	2018	"Total"	207
"Total"	"Egypt"	2018	"Male"	273
"1. Managers"	"Egypt"	2018	"Male"	497
"2. Professionals"	"Egypt"	2018	"Male"	330
"9. Elementary occupations"	"Egypt"	2015	"Total"	175
"Total"	"Egypt"	2015	"Male"	243
"1. Managers"	"Egypt"	2015	"Male"	387
"2. Professionals"	"Egypt"	2015	"Male"	293
"3. Technicians and associate professionals"	"Egypt"	2015	"Male"	267
"4. Clerical support workers"	"Egypt"	2015	"Male"	257
"8. Plant and machine operators, and assemblers"	"Egypt"	2015	"Female"	143
"9. Elementary occupations"	"Egypt"	2015	"Female"	117
"Total"	"Egypt"	2016	"Total"	407
"2. Professionals"	"Egypt"	2020	"Total"	192
"3. Technicians and associate professionals"	"Egypt"	2020	"Total"	184
"4. Clerical support workers"	"Egypt"	2020	"Total"	178
"5. Service and sales workers"	"Egypt"	2020	"Total"	157
"3. Technicians and associate professionals"	"Egypt"	2018	"Male"	264
"4. Clerical support workers"	"Egypt"	2018	"Male"	280
"5. Service and sales workers"	"Egypt"	2018	"Male"	177
"5. Service and sales workers"	"Egypt"	2015	"Female"	122
"6. Skilled agricultural, forestry and fishery workers"	"Egypt"	2015	"Female"	110
"7. Craft and related trades workers"	"Egypt"	2015	"Female"	140
"4. Clerical support workers"	"Egypt"	2019	"Male"	370
"5. Service and sales workers"	"Egypt"	2019	"Male"	314
"6. Skilled agricultural, forestry and fishery workers"	"Egypt"	2019	"Male"	285
"1. Managers"	"Egypt"	2018	"Female"	563
"8. Plant and machine operators, and assemblers"	"Egypt"	2019	"Male"	264
"9. Elementary occupations"	"Egypt"	2019	"Male"	276
"Total"	"Egypt"	2019	"Female"	315
"6. Skilled agricultural, forestry and fishery workers"	"Egypt"	2020	"Total"	191
"7. Craft and related trades workers"	"Egypt"	2020	"Total"	216
"8. Plant and machine operators, and assemblers"	"Egypt"	2020	"Total"	189
"9. Elementary occupations"	"Egypt"	2018	"Female"	116
"2. Professionals"	"Egypt"	2019	"Male"	403
"3. Technicians and associate professionals"	"Egypt"	2019	"Male"	323
"8. Plant and machine operators, and assemblers"	"Egypt"	2018	"Male"	198
"9. Elementary occupations"	"Egypt"	2018	"Male"	219
"Total"	"Egypt"	2018	"Female"	249
"9. Elementary occupations"	"Egypt"	2019	"Female"	128
"2. Professionals"	"Egypt"	2018	"Female"	247
"3. Technicians and associate professionals"	"Egypt"	2018	"Female"	203
"4. Clerical support workers"	"Egypt"	2018	"Female"	270
"1. Managers"	"Egypt"	2019	"Female"	750
"2. Professionals"	"Egypt"	2019	"Female"	299
"Total"	"Egypt"	2019	"Male"	334
"1. Managers"	"Egypt"	2019	"Male"	426
"6. Skilled agricultural, forestry and fishery workers"	"Egypt"	2018	"Male"	208
"7. Craft and related trades workers"	"Egypt"	2018	"Male"	237
"6. Skilled agricultural, forestry and fishery workers"	"Egypt"	2019	"Female"	235
"7. Craft and related trades workers"	"Egypt"	2019	"Female"	184
"8. Plant and machine operators, and assemblers"	"Egypt"	2019	"Female"	143
"5. Service and sales workers"	"Egypt"	2018	"Female"	168
"Total"	"Egypt"	2020	"Total"	190
"1. Managers"	"Egypt"	2020	"Total"	245
"4. Clerical support workers"	"Egypt"	2019	"Female"	371
"8. Plant and machine operators, and assemblers"	"Egypt"	2018	"Female"	124
"6. Skilled agricultural, forestry and fishery workers"	"Egypt"	2018	"Female"	207
"3. Technicians and associate professionals"	"Egypt"	2019	"Female"	244
"7. Craft and related trades workers"	"Egypt"	2018	"Female"	189
"5. Service and sales workers"	"Egypt"	2019	"Female"	217
"3. Technicians and associate professionals"	"El Salvador"	2017	"Female"	489
"Total"	"El Salvador"	2017	"Female"	308
"7. Craft and related trades workers"	"El Salvador"	2017	"Female"	191
"8. Plant and machine operators, and assemblers"	"El Salvador"	2017	"Male"	361
"4. Clerical support workers"	"El Salvador"	2016	"Male"	391
"4. Clerical support workers"	"El Salvador"	2017	"Female"	373
"1. Managers"	"El Salvador"	2017	"Female"	741
"2. Professionals"	"El Salvador"	2017	"Female"	634
"8. Plant and machine operators, and assemblers"	"El Salvador"	2016	"Male"	351
"9. Elementary occupations"	"El Salvador"	2016	"Male"	195
"5. Service and sales workers"	"El Salvador"	2017	"Female"	243
"7. Craft and related trades workers"	"El Salvador"	2016	"Male"	287
"7. Craft and related trades workers"	"El Salvador"	2017	"Male"	302
"9. Elementary occupations"	"El Salvador"	2017	"Male"	216
"0. Armed forces occupations"	"El Salvador"	2017	"Male"	291
"2. Professionals"	"El Salvador"	2016	"Male"	595
"3. Technicians and associate professionals"	"El Salvador"	2016	"Male"	457
"7. Craft and related trades workers"	"El Salvador"	2016	"Female"	179
"5. Service and sales workers"	"El Salvador"	2016	"Male"	293
"6. Skilled agricultural, forestry and fishery workers"	"El Salvador"	2016	"Male"	206
"8. Plant and machine operators, and assemblers"	"El Salvador"	2013	"Female"	221
"9. Elementary occupations"	"El Salvador"	2013	"Female"	158
"Total"	"El Salvador"	2014	"Total"	303
"1. Managers"	"El Salvador"	2014	"Total"	785
"0. Armed forces occupations"	"El Salvador"	2016	"Male"	305
"Total"	"El Salvador"	2016	"Female"	286
"0. Armed forces occupations"	"El Salvador"	2016	"Total"	304
"Total"	"El Salvador"	2016	"Male"	303
"1. Managers"	"El Salvador"	2016	"Male"	684
"3. Technicians and associate professionals"	"El Salvador"	2013	"Female"	441
